beamtime,calibration,buffer,sample_batch,sample_file,rep,r,avg_n,ipfd,%11,%12,%13,%14,%15,s0,sn,q_1nm,r2,avg_mon_len,j01,j02,j03,j04,r_j01,r_j02,r_j03,r_j04
2025_FEB,cal,BUFFER_A101,EPORED_GMPCPP.1,AVG diffractogram EPORED_GMPCPP.1,AVG,11.618959652697328,12.90812202192748,5.6000000000000005,2.8002351189365435e-18,0.2430119060672546,0.6058541659580133,0.15113392795472785,2.0004281853954867e-11,2.321022544048386,0.5448560220152948,6.035770616863535,0.9908637439294019,4.16396560175749,0.34302375259045775,0.5586610482116633,0.8591359433838133,1.1511253211966164,11.170380888411117,12.55785899567063,11.84151147837356,11.574492968727327
2025_FEB,cal,BUFFER_A101,EPORED_GMPCPP.2,AVG diffractogram EPORED_GMPCPP.2,AVG,11.613495792050996,12.901929134592223,5.6000000000000005,2.932507066035668e-20,0.24479532941553395,0.6084802065767192,0.14672446400773845,8.478274574898574e-15,2.220130574004508,0.548498676670636,6.037197287941898,0.9886156092029678,4.162981600570848,0.3427196865504048,0.5595088642941497,0.8665442532580931,1.1964552488823499,11.180291417674287,12.53883024474716,11.740275348675858,11.135971820726553
