q EQ,i EQ,q ME,i ME
0.055212,0.000000,0.055212,0.000000
0.060837,0.000000,0.060837,0.000000
0.066462,0.000000,0.066462,0.000000
0.072087,0.863925,0.072087,-0.291667
0.077712,1.566816,0.077712,0.909743
0.083337,2.044835,0.083337,1.329968
0.088963,2.091913,0.088963,0.694675
0.094588,2.970697,0.094588,1.273214
0.100213,10.587954,0.100213,1.533878
0.105838,321.575653,0.105838,0.939724
0.111463,2974.614258,0.111463,0.948830
0.117088,7355.972168,0.117088,1.658737
0.122713,8906.853516,0.122713,1.351935
0.128338,8637.677734,0.128338,1.987464
0.133963,8444.603516,0.133963,8.739301
0.139589,8362.097656,0.139589,37.573639
0.145214,8289.859375,0.145214,174.973312
0.150839,7982.603516,0.150839,644.899170
0.156464,7482.961426,0.156464,1099.122192
0.162089,7117.467285,0.162089,1091.947510
0.167714,6466.253906,0.167714,1020.100525
0.173339,5538.306641,0.173339,949.259644
0.178964,4462.934082,0.178964,863.949890
0.184589,3281.036621,0.184589,809.656860
0.190214,2121.236328,0.190214,758.980835
0.195840,1393.873047,0.195840,707.890137
0.201465,926.379944,0.201465,645.428406
0.207090,731.232666,0.207090,596.128723
0.212715,762.452026,0.212715,563.613647
0.218340,867.293457,0.218340,533.056641
0.223965,997.540588,0.223965,495.808197
0.229590,1134.815308,0.229590,465.033936
0.235215,1273.067871,0.235215,436.014771
0.240840,1397.786255,0.240840,410.552979
0.246466,1518.106323,0.246466,390.345306
0.252091,1650.446533,0.252091,360.590454
0.257716,1792.662231,0.257716,340.611694
0.263341,1872.938965,0.263341,324.060364
0.268966,2037.088501,0.268966,303.165131
0.274591,2228.328857,0.274591,283.123505
0.280216,2477.673340,0.280216,272.785706
0.285841,2735.722168,0.285841,258.525116
0.291466,3046.205322,0.291466,243.412964
0.297092,3410.269775,0.297092,233.165771
0.302717,3830.848389,0.302717,226.117294
0.308342,4239.118652,0.308342,221.126801
0.313967,4512.198242,0.313967,209.278885
0.319592,4931.837402,0.319592,200.496185
0.325217,5327.878418,0.325217,191.425293
0.330842,5605.985840,0.330842,185.301575
0.336467,5764.779785,0.336467,176.677979
0.342092,5826.277832,0.342092,171.570419
0.347718,5787.209473,0.347718,158.907623
0.353343,5630.401367,0.353343,148.201218
0.358968,5247.963379,0.358968,144.830139
0.364593,4772.208496,0.364593,135.034225
0.370218,4286.916504,0.370218,126.164299
0.375843,3805.618164,0.375843,114.835541
0.381468,3310.099365,0.381468,106.771652
0.387093,2808.293701,0.387093,95.759964
0.392718,2309.007812,0.392718,86.425812
0.398343,1880.987061,0.398343,79.568062
0.403969,1540.067505,0.403969,74.445770
0.409594,1219.249268,0.409594,68.919991
0.415219,953.934326,0.415219,65.157661
0.420844,752.154114,0.420844,62.315411
0.426469,606.201111,0.426469,56.599991
0.432094,482.044220,0.432094,55.270443
0.437719,379.129395,0.437719,55.348141
0.443344,303.585022,0.443344,50.109238
0.448969,243.579620,0.448969,46.888630
0.454595,196.657471,0.454595,46.404442
0.460220,162.371979,0.460220,42.726654
0.465845,145.269470,0.465845,39.715729
0.471470,134.543564,0.471470,39.215416
0.477095,129.470642,0.477095,40.868557
0.482720,144.081009,0.482720,40.328560
0.488345,174.304062,0.488345,38.969349
0.493970,217.911011,0.493970,42.841888
0.499595,270.727081,0.499595,43.395130
0.505221,336.658875,0.505221,40.277340
0.510846,409.239655,0.510846,38.273617
0.516471,478.750488,0.516471,37.945099
0.522096,540.173401,0.522096,38.620377
0.527721,613.036011,0.527721,38.541508
0.533346,673.486877,0.533346,37.602829
0.538971,721.521973,0.538971,37.453178
0.544596,755.083069,0.544596,37.840694
0.550221,780.825745,0.550221,35.211189
0.555846,795.284607,0.555846,34.374004
0.561472,798.078003,0.561472,33.895351
0.567097,782.381592,0.567097,34.183632
0.572722,757.946899,0.572722,34.871281
0.578347,744.415771,0.578347,33.082577
0.583972,726.639771,0.583972,32.863415
0.589597,700.203308,0.589597,33.270252
0.595222,671.219543,0.595222,32.063217
0.600847,645.322632,0.600847,28.801846
0.606472,617.911926,0.606472,31.274523
0.612098,590.969482,0.612098,29.345827
0.617723,552.854675,0.617723,27.782070
0.623348,529.651978,0.623348,28.722868
0.628973,513.778931,0.628973,27.334551
0.634598,495.156799,0.634598,26.959005
0.640223,473.707428,0.640223,26.190491
0.645848,459.234070,0.645848,24.895252
0.651473,442.184265,0.651473,24.218674
0.657098,421.944305,0.657098,24.376827
0.662724,399.304565,0.662724,24.337065
0.668349,369.915283,0.668349,24.301229
0.673974,337.871918,0.673974,23.938854
0.679599,308.815063,0.679599,22.328384
0.685224,274.357300,0.685224,21.481884
0.690849,241.063187,0.690849,20.202679
0.696474,210.627625,0.696474,18.716587
0.702099,179.334061,0.702099,18.785566
0.707724,151.502609,0.707724,18.659550
0.713349,127.574455,0.713349,20.638348
0.718975,104.211464,0.718975,19.953983
0.724600,87.444557,0.724600,20.828249
0.730225,74.951447,0.730225,22.382963
0.735850,65.817055,0.735850,18.617092
0.741475,60.716667,0.741475,18.119347
0.747100,58.684174,0.747100,17.923752
0.752725,57.260971,0.752725,20.131235
0.758350,56.525547,0.758350,23.899527
0.763975,58.865910,0.763975,24.795528
0.769601,62.855991,0.769601,24.254198
0.775226,67.277946,0.775226,20.493893
0.780851,73.582497,0.780851,17.892544
0.786476,80.864426,0.786476,18.057829
0.792101,88.393356,0.792101,17.923450
0.797726,95.749626,0.797726,18.705307
0.803351,105.399742,0.803351,19.093945
0.808976,114.824219,0.808976,18.656366
0.814601,124.480728,0.814601,17.107105
0.820227,134.367111,0.820227,18.709902
0.825852,142.877792,0.825852,16.772257
0.831477,149.451019,0.831477,14.697983
0.837102,158.880112,0.837102,16.079023
0.842727,166.452393,0.842727,17.176859
0.848352,173.989426,0.848352,16.996246
0.853977,176.885788,0.853977,18.050194
0.859602,178.672592,0.859602,15.778007
0.865227,182.065598,0.865227,15.955784
0.870853,180.836624,0.870853,16.496965
0.876478,175.697708,0.876478,15.683522
0.882103,170.556870,0.882103,16.345333
0.887728,165.343384,0.887728,18.834620
0.893353,159.061890,0.893353,18.325029
0.898978,150.423355,0.898978,16.172735
0.904603,141.297897,0.904603,16.289183
0.910228,133.151993,0.910228,15.583488
0.915853,124.621132,0.915853,15.196044
0.921478,115.649918,0.921478,11.936569
0.927104,107.775406,0.927104,12.639672
0.932729,99.041481,0.932729,15.657886
0.938354,90.292122,0.938354,14.711168
0.943979,82.365578,0.943979,11.990903
0.949604,75.558502,0.949604,13.090307
0.955229,69.908211,0.955229,12.564158
0.960854,67.908630,0.960854,12.088320
0.966479,64.773163,0.966479,12.509396
0.972104,62.228443,0.972104,12.497293
0.977730,58.940079,0.977730,13.072983
0.983355,52.680824,0.983355,13.075579
0.988980,49.675934,0.988980,12.566263
0.994605,49.472878,0.994605,11.959370
1.000230,48.489914,1.000230,13.175718
1.005855,45.640835,1.005855,13.127742
1.011480,46.281563,1.011480,12.316288
1.017105,45.217522,1.017105,13.077177
1.022730,45.254620,1.022730,14.328876
1.028356,48.023327,1.028356,12.095476
1.033981,47.414749,1.033981,11.405425
1.039606,46.197350,1.039606,11.046514
1.045231,48.211788,1.045231,10.454724
1.050856,51.074249,1.050856,11.577115
1.056481,53.917294,1.056481,11.541123
1.062106,56.498619,1.062106,11.310027
1.067731,59.079906,1.067731,10.790766
1.073356,59.949345,1.073356,11.406326
1.078981,63.755848,1.078981,12.749411
1.084607,63.234226,1.084607,13.008523
1.090232,64.487274,1.090232,11.325495
1.095857,67.925446,1.095857,12.167889
1.101482,70.155838,1.101482,13.410954
1.107107,69.901726,1.107107,12.726048
1.112732,70.998573,1.112732,13.053026
1.118357,72.863167,1.118357,12.343911
1.123982,72.805305,1.123982,11.898517
1.129607,76.591309,1.129607,14.116683
1.135233,77.396935,1.135233,12.741975
1.140858,76.139763,1.140858,11.179388
1.146483,77.494247,1.146483,10.677259
1.152108,78.361015,1.152108,10.387932
1.157733,80.174736,1.157733,11.746831
1.163358,81.279510,1.163358,12.897688
1.168983,79.862617,1.168983,13.962898
1.174608,78.708900,1.174608,12.965296
1.180233,79.666992,1.180233,11.855346
1.185859,81.059937,1.185859,11.894844
1.191484,79.734566,1.191484,11.974760
1.197109,78.634659,1.197109,11.876491
1.202734,78.389992,1.202734,13.077611
1.208359,78.384193,1.208359,12.266089
1.213984,77.380722,1.213984,12.245254
1.219609,77.078865,1.219609,11.290359
1.225234,73.981491,1.225234,11.323543
1.230859,71.024597,1.230859,12.032192
1.236485,71.155540,1.236485,14.393850
1.242110,68.895119,1.242110,12.907574
1.247735,67.459381,1.247735,12.334547
1.253360,65.844376,1.253360,11.727288
1.258985,65.572464,1.258985,12.510199
1.264610,63.639225,1.264610,13.731489
1.270235,60.634277,1.270235,13.465476
1.275860,59.793808,1.275860,11.826983
1.281485,57.133610,1.281485,10.958876
1.287110,55.843449,1.287110,11.532325
1.292736,53.900513,1.292736,11.068394
1.298361,53.827858,1.298361,11.456778
1.303986,51.185162,1.303986,11.106302
1.309611,48.694435,1.309611,9.641482
1.315236,50.212223,1.315236,10.398695
1.320861,46.656746,1.320861,11.352780
1.326486,43.560982,1.326486,11.049784
1.332111,44.114452,1.332111,10.004236
1.337736,42.956806,1.337736,10.387268
1.343362,42.543415,1.343362,11.273170
1.348987,40.617222,1.348987,10.579235
1.354612,37.689007,1.354612,11.316042
1.360237,35.100891,1.360237,9.992000
1.365862,35.591183,1.365862,9.452924
1.371487,35.187565,1.371487,11.617591
1.377112,32.142647,1.377112,11.279137
1.382737,30.391481,1.382737,12.484445
1.388362,28.259975,1.388362,11.547544
1.393988,26.204121,1.393988,12.766306
1.399613,25.824064,1.399613,12.803147
1.405238,25.496878,1.405238,10.246922
1.410863,23.910038,1.410863,11.285312
1.416488,22.794159,1.416488,11.370286
1.422113,22.545694,1.422113,9.989411
1.427738,22.123446,1.427738,10.030607
1.433363,23.294630,1.433363,8.354886
1.438988,21.337461,1.438988,9.613368
1.444613,20.267984,1.444613,9.272210
1.450239,20.415205,1.450239,9.375551
1.455864,18.858187,1.455864,9.064121
1.461489,18.798573,1.461489,9.066400
1.467114,18.640730,1.467114,9.215652
1.472739,15.305194,1.472739,8.958527
1.478364,15.969262,1.478364,8.640286
1.483989,20.475594,1.483989,9.250387
1.489614,20.920012,1.489614,11.322232
1.495239,19.092934,1.495239,9.245986
1.500865,18.540907,1.500865,7.711112
1.506490,16.964985,1.506490,9.569357
1.512115,16.462538,1.512115,10.209993
1.517740,15.822144,1.517740,9.225190
1.523365,16.287146,1.523365,10.294847
1.528990,17.689156,1.528990,11.786199
1.534615,18.525127,1.534615,10.103868
